'NR_KLUBU','NAZWA_KLUBU'
37,'KU AZS WAT Warszawa'
1,'Allianz Warszawa'
2,'KB Orientuz Warszawa'
3,'KB Gymnasion Warszawa'
4,'Legia Warszawa'
9,'Grunwald Poznañ'
6,'KB Promyk Ciechanów'
7,'KB Pu³aski Strong Warka'
8,'AZS SGGW Warszawa'
10,'AZS Uniwersytet Warszawski'
11,'KB Amator Miñsk Mazowiecki'
15,'ACTION Warszawa'
13,'KB Promyk Ursus'
14,'AZS-AWF Warszawa'
16,'Gwardia Warszawa'
18,'Bielañski KB Warszawa'
19,'Warszawianka'
20,'KB Lotos Jab³onna'
23,'KB Legionowo'
25,'TKKF Piaski Warszawa'
28,'Akvedukt Kielce'
31,'KB Trucht Warszawa'
35,'KB Lechici Zielonka'
36,'Skra Warszawa'
5,'Flota Gdynia'
12,'Œl¹sk Wroc³aw'
17,'KB Galeria Warszawa'
